t,ua,ub,uc
0.00,1.0000000000000000,-0.4999999999999998,-0.4999999999999998
0.05,0.9510565162951535,-0.2079116908177591,-0.7431448254773940
0.10,0.8090169943749475,0.1045284632676537,-0.9135454576426008
0.15,0.5877852522924730,0.4067366430758004,-0.9945218953682733
0.20,0.3090169943749475,0.6691306063588583,-0.9781476007338057
0.25,0.0000000000000001,0.8660254037844387,-0.8660254037844388
0.30,-0.3090169943749476,0.9781476007338057,-0.6691306063588581
0.35,-0.5877852522924730,0.9945218953682733,-0.4067366430758009
0.40,-0.8090169943749473,0.9135454576426009,-0.1045284632676542
0.45,-0.9510565162951535,0.7431448254773941,0.2079116908177586
0.50,-1.0000000000000000,0.4999999999999999,0.4999999999999993
0.55,-0.9510565162951535,0.2079116908177588,0.7431448254773942
0.60,-0.8090169943749472,-0.1045284632676540,0.9135454576426010
0.65,-0.5877852522924732,-0.4067366430758003,0.9945218953682733
0.70,-0.3090169943749476,-0.6691306063588582,0.9781476007338058
0.75,-0.0000000000000002,-0.8660254037844387,0.8660254037844390
0.80,0.3090169943749472,-0.9781476007338057,0.6691306063588589
0.85,0.5877852522924737,-0.9945218953682733,0.4067366430757994
0.90,0.8090169943749473,-0.9135454576426009,0.1045284632676544
0.95,0.9510565162951535,-0.7431448254773942,-0.2079116908177585
1.00,1.0000000000000000,-0.4999999999999996,-0.4999999999999992
1.05,0.9510565162951536,-0.2079116908177589,-0.7431448254773936
1.10,0.8090169943749470,0.1045284632676539,-0.9135454576426012
1.15,0.5877852522924727,0.4067366430758005,-0.9945218953682734
1.20,0.3090169943749468,0.6691306063588585,-0.9781476007338055
1.25,0.0000000000000003,0.8660254037844388,-0.8660254037844392
1.30,-0.3090169943749471,0.9781476007338057,-0.6691306063588589
1.35,-0.5877852522924729,0.9945218953682733,-0.4067366430758012
1.40,-0.8090169943749472,0.9135454576426008,-0.1045284632676545
1.45,-0.9510565162951540,0.7431448254773928,0.2079116908177601
1.50,-1.0000000000000000,0.4999999999999997,0.4999999999999991
1.55,-0.9510565162951536,0.2079116908177590,0.7431448254773936
1.60,-0.8090169943749477,-0.1045284632676537,0.9135454576426004
1.65,-0.5877852522924735,-0.4067366430758004,0.9945218953682732
1.70,-0.3090169943749461,-0.6691306063588597,0.9781476007338055
1.75,-0.0000000000000004,-0.8660254037844388,0.8660254037844392
1.80,0.3090169943749470,-0.9781476007338057,0.6691306063588590
1.85,0.5877852522924728,-0.9945218953682733,0.4067366430758013
1.90,0.8090169943749471,-0.9135454576426008,0.1045284632676546
1.95,0.9510565162951540,-0.7431448254773929,-0.2079116908177600
2.00,1.0000000000000000,-0.4999999999999998,-0.4999999999999990
